original,formatted,score,check,v1,v2,v3
Contract Lighting Artist , Contract Lighting Artist ,1000,y,,,
Sr. Manager , Sr Manager ,1000,y,,,
Project Manager , Project Manager ,1000,y,,,
Art Director , Art Director ,1000,y,,,
Director , Director ,1000,y,,,
Systems Administrator , Systems Administrator ,1000,y,,,
Engineer , Engineer ,1000,y,,,
Creative Director , Creative Director ,1000,y,,,
Textile Artist , Textile Artist ,1000,y,,,
Program Manager , Program Manager ,1000,y,,,
Software Engineer , Software Engineer ,1000,y,,,
Senior Software Engineer , Senior Software Engineer ,1000,y,,,
Marketing/Product Manager ,  ,0,n,,,
Stimulation Engineer , Stimulation Engineer ,1000,y,,,
SYSTEM ADMINISTRATOR , SYSTEM ADMINISTRATOR ,1000,y,,,
Java Developer , Java Developer ,1000,y,,,
Programme Manager (Telephony) , Programmer Manager (Telephony) ,98,y,,,
Framework Architect/program Manager ,  ,0,n,,,
Technical Program Manager , Technical Program Manager ,1000,y,,,
Digital Senior Art Director , Digital Senior Art Director ,1000,y,,,
Internal Diversity Consultant , Internal Diversity Consultant ,1000,y,,,
Contract Lighting Artist , Contract Lighting Artist ,1000,y,,,
